Week,Day,Title,Link,dtitle1,dlink1,dpoints1,drubric1,dtype1,dtitle2,dlink2,dpoints2,drubric2,dtype2,dtitle3,dlink3,dpoints3,drubric3,dtype3,rtitle1,rlink1,rtitle2,rlink2,rtitle3,rlink3,rtitle4,rlink4,rtitle5,rlink5
0,0,Course Overview,../Ursinus-CS170-Overview,Programming Assignment: Warmup Handed Out,./Assignments/Warmup,10,,noupload,,,,,,,,,,,,,,,,,,,,
0,1,Course Overview Continued: What is Computer Science?,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,Computing in Context: Exploring Computing Concepts with Unplugged Activities,./Presentations/UnpluggedIcebreakers,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,Computing in Context: Post-It Pandemonium,./DrawingCanvas,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Computing in Context: Classifying Flowers,./Activities/FlowerClassifier,Programming Assignment: Warmup Due,./Assignments/Warmup,10,,noupload,,,,,,,,,,,,,,,,,,,,
1,1,Lab: Setting up Your Computing Environment,,Lab: Computing Environment Handed Out,./Labs/ComputingEnvironment,100,_pages/Labs/lab-computingenvironment.md,,,,,,,,,,,,Runestone Ch. 1,,,,,,,,,
1,2,Lab: Setting up Your Computing Environment,,,,,,,,,,,,,,,,,Think Python Ch. 1,,,,,,,,,
1,3,Introduction to the micro:bit and Random Number Generation with Variables and Mathematical Expressions,./Activities/MicrobitPRNG,Programming Assignment: Turtle Maze Handed Out,./Assignments/TurtleMaze,100,_pages/Assignments/asmt-turtlemaze.md,,,,,,,,,,,,,,,,,,,,,
2,0,Introduction to the micro:bit and Random Number Generation with Variables and Mathematical Expressions,,Lab: Computing Environment Due,./Labs/ComputingEnvironment,100,_pages/Labs/lab-computingenvironment.md,,,,,,,,,,,,,,,,,,,,,
2,1,Lab: Flesch-Kincaid Reading Level,,Lab: Flesch-Kincaid Reading Level Handed Out,./Labs/FleschKincaidReadingLevel,100,_pages/Labs/lab-fleschkincaidreadinglevel.md,,,,,,,,,,,,,,,,,,,,,
2,2,Representing Numbers and Text in Python,./Activities/PythonNumbersText,,,,,,,,,,,,,,,,Think Python Ch. 2,,Runestone Ch. 2,,,,,,,
2,3,Representing Numbers and Text in Python,,,,,,,,,,,,,,,,,,,,,,,,,,
